PwnCount,BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,bin,country_id
1311610,1,6,2016,1,0,0,0,0,6,1,0
1306723,6,1,2021,1,0,0,0,0,4,1,0
1304447,29,6,2020,1,0,0,0,0,4,1,0
1301460,2,10,2020,1,0,0,0,0,4,1,55
1298651,27,3,2020,1,0,0,0,0,1,1,0
1296959,25,9,2015,1,0,0,0,0,6,1,0
1291178,1,1,2009,1,0,0,0,0,2,1,0
1287073,1,9,2014,1,0,0,0,0,1,1,8
1284637,19,8,2020,1,0,0,0,0,1,1,26
1279263,9,7,2018,1,0,0,0,0,1,1,0
1277761,3,8,2019,1,0,0,0,0,4,1,0
1274340,27,1,2020,1,0,0,0,0,2,1,0
1274070,25,9,2015,1,0,0,0,0,6,1,0
1274051,7,10,2018,1,1,0,0,0,0,1,0
1270564,17,5,2016,1,1,0,0,0,0,1,0
1247574,11,12,2010,1,0,0,0,0,0,1,0
1217166,23,10,2015,1,0,0,0,0,6,1,0
1197620,25,9,2020,1,0,0,0,0,2,1,0
1194597,22,4,2014,1,0,0,0,0,2,1,0
1186564,7,9,2014,1,0,0,0,0,0,1,15
1173012,1,3,2020,1,0,0,0,0,4,1,0
1141278,1,8,2013,1,0,0,0,0,2,1,0
1131636,1,12,2015,1,0,0,0,0,0,1,7
1131229,1,4,2018,1,0,0,0,0,4,1,8
1121484,1,1,2020,1,1,0,0,1,0,1,0
1116256,1,12,2016,1,0,0,0,0,2,1,34
1107789,30,7,2020,1,0,0,0,0,1,1,21
1107034,29,10,2021,1,1,0,0,0,0,1,0
1100089,11,11,2015,1,1,0,0,0,0,1,0
1079970,1,4,2018,1,0,0,0,0,4,1,0
1075241,25,6,2020,1,0,0,0,0,1,1,35
1074948,24,8,2012,1,0,0,0,0,2,1,0
1073164,15,8,2016,1,0,0,0,0,0,1,0
1057819,15,2,2014,1,0,0,0,0,0,1,0
1052753,9,5,2016,1,0,0,0,0,5,1,0
1047200,7,8,2015,1,0,0,0,0,4,1,0
1023466,1,1,2017,1,0,0,0,0,6,1,0
1021790,20,6,2020,1,0,0,0,0,2,1,0
1020136,4,7,2012,1,0,0,0,0,2,1,0
999991,1,3,2015,1,1,0,0,0,6,1,0
995698,1,1,2017,1,0,0,0,0,2,1,11
995274,1,3,2017,1,0,0,0,0,2,1,0
990919,9,12,2017,1,0,0,0,0,4,1,0
988230,28,6,2016,1,0,0,0,0,4,1,0
985586,16,3,2016,1,0,0,0,0,1,1,0
972629,18,2,2015,1,0,0,0,0,1,1,8
942044,19,1,2017,1,1,0,0,0,6,1,43
938981,31,1,2021,1,0,0,0,0,4,1,0
919790,15,11,2022,1,0,0,0,0,2,1,5
917461,19,7,2016,1,0,0,0,0,0,1,0
890341,1,1,2016,1,0,0,0,0,2,1,0
880331,1,8,2013,1,0,0,0,0,6,1,0
879703,1,1,2016,1,0,0,0,0,2,1,0
878209,20,8,2021,1,0,0,0,0,1,1,0
871190,23,3,2019,1,0,0,0,0,2,1,0
859777,24,12,2011,1,0,0,0,0,0,1,0
857611,16,2,2020,1,0,0,0,0,1,1,0
855249,9,6,2014,1,0,0,0,0,0,1,0
846742,24,10,2008,1,0,0,0,0,5,1,0
845012,30,8,2016,1,0,0,0,0,0,1,0
830155,1,10,2016,1,0,0,0,0,0,1,0
819478,24,11,2014,1,0,0,0,0,0,1,0
816662,1,9,2019,1,0,0,0,0,2,1,30
808330,5,9,2018,1,0,0,0,0,1,1,0
800157,1,1,2016,1,0,0,0,0,0,1,0
790724,1,4,2013,1,1,0,0,0,0,1,0
783058,1,1,2010,1,0,0,0,0,0,1,6
