BreachDateDayOfMonth,BreachDateMonth,BreachDateYear,IsVerified,IsSensitive,IsRetired,IsSpamList,IsMalware,Industry,PwnCount
21,6,2014,1,0,0,0,0,2,285191
12,7,2015,1,0,0,0,0,2,281924
1,5,2018,1,0,0,0,0,6,275785
29,8,2020,1,0,0,0,0,1,269552
15,11,2015,1,0,0,0,0,2,269548
13,12,2018,1,0,0,0,0,5,266399
30,11,2018,1,0,0,0,0,5,265410
12,12,2020,1,0,0,0,0,1,263829
2,4,2020,1,0,0,0,0,6,263189
25,8,2018,1,0,0,0,0,1,261463
1,4,2015,1,0,0,0,0,0,254867
6,7,2015,1,0,0,0,0,0,252751
4,4,2008,1,0,0,0,0,0,252216
11,8,2016,1,0,0,0,0,6,251661
21,10,2018,1,0,0,0,0,1,242715
14,1,2023,1,0,0,0,0,1,240488
13,11,2014,1,0,0,0,0,6,238373
25,5,2020,1,0,0,0,0,1,236105
17,7,2020,1,0,0,0,0,2,235233
27,3,2016,1,0,0,0,0,0,228605
13,10,2020,1,0,0,0,0,1,228102
5,2,2014,1,0,0,0,0,6,227746
11,8,2019,1,0,0,0,0,1,226095
10,6,2019,1,0,0,0,0,1,224119
29,12,2018,1,0,0,0,0,5,213415
11,12,2018,1,0,0,0,0,5,205242
3,9,2013,1,0,0,0,0,6,202683
1,8,2016,1,0,0,0,0,6,197184
25,6,2011,1,0,0,0,0,0,191540
18,10,2014,1,0,0,0,0,6,188847
28,6,2015,1,0,0,0,0,6,188343
22,5,2021,1,0,0,0,0,1,188089
30,5,2018,1,1,0,0,0,2,186082
1,1,2017,1,0,0,0,0,1,182717
21,11,2017,1,0,0,0,0,2,181871
30,5,2013,1,0,0,0,0,0,180468
4,1,2013,1,0,0,0,0,2,179967
1,12,2015,1,1,0,0,0,0,179030
3,9,2015,1,1,0,0,0,6,178201
6,5,2022,1,0,0,0,0,2,174168
27,10,2015,1,0,0,0,0,0,173891
1,1,2017,1,0,0,0,0,1,166046
19,8,2020,1,0,0,0,0,0,166031
26,12,2018,1,0,0,0,0,6,161143
29,3,2014,1,0,0,0,0,6,158093
19,6,2019,1,0,0,0,0,0,157692
6,8,2018,1,0,0,0,0,2,149958
24,6,2016,1,1,0,0,0,2,149830
4,1,2014,1,0,0,0,0,0,148366
21,2,2016,1,0,0,0,0,0,144989
4,2,2018,1,0,0,0,0,0,143717
1,4,2016,1,0,0,0,0,2,143569
14,7,2019,1,0,0,0,0,2,140029
1,2,2021,1,0,0,0,0,1,139401
26,2,2015,1,0,0,0,0,1,139395
21,5,2012,1,0,0,0,0,1,134047
16,7,2015,1,0,0,0,0,2,130705
27,10,2016,1,0,0,0,0,2,119948
19,2,2016,1,0,0,0,0,0,117070
8,8,2014,1,0,0,0,0,0,116465
30,4,2022,1,0,0,0,0,1,112251
17,7,2021,1,0,0,0,0,1,112031
15,11,2014,1,0,0,0,0,6,111623
8,4,2021,1,0,0,0,0,1,111002
1,7,2016,1,0,0,0,0,1,110355
5,2,2021,1,0,0,0,0,5,110156
21,12,2017,1,0,0,0,0,5,109202
16,5,2022,1,0,0,0,0,1,108940
15,4,2022,1,0,0,0,0,5,108887
27,4,2015,1,0,0,0,0,1,107776
9,5,2016,1,1,0,0,0,6,107303
20,5,2016,1,0,0,0,0,1,104977
22,7,2014,1,0,0,0,0,0,104097
29,1,2022,1,0,0,0,0,5,101004
28,5,2016,1,0,0,0,0,5,97151
13,6,2019,1,0,0,0,0,6,95431
8,4,2020,1,0,0,0,0,1,94353
31,10,2015,1,0,0,0,0,0,93992
1,11,2019,1,0,0,0,0,6,93343
23,4,2021,1,0,0,0,0,2,90655
24,9,2019,1,0,0,0,0,2,90478
7,2,2022,1,0,0,0,0,1,89966
13,6,2019,1,0,0,0,0,6,89392
20,8,2019,1,0,0,0,0,1,89388
1,7,2015,1,0,0,0,0,0,88678
1,1,2013,1,0,0,0,0,1,87633
31,12,2017,1,0,0,0,0,5,84011
25,2,2016,1,0,0,0,0,5,83957
11,1,2016,1,0,0,0,0,2,83610
7,9,2016,1,0,0,0,0,0,81830
9,9,2022,1,1,0,0,0,1,79195
21,5,2013,1,1,0,0,0,6,75383
11,8,2020,1,1,0,0,0,4,73944
1,1,2016,1,0,0,0,0,2,73587
11,9,2021,1,0,0,0,0,0,72596
27,9,2019,1,1,0,0,0,4,71407
23,2,2022,1,0,0,0,0,1,71335
23,2,2017,1,0,0,0,0,5,71153
15,1,2016,1,0,0,0,0,0,71081
5,12,2017,1,0,0,0,0,0,67973
26,2,2021,1,1,0,0,0,1,66521
2,10,2021,1,0,0,0,0,2,66479
1,4,2018,1,0,0,0,0,5,66308
4,1,2021,1,0,0,0,0,2,63451
1,7,2019,1,0,0,0,0,6,62261
30,11,2013,1,0,0,0,0,1,56021
22,2,2014,1,0,0,0,0,1,55622
20,2,2019,1,0,0,0,0,6,52623
31,3,2018,1,0,0,0,0,1,52485
19,10,2020,1,0,0,0,0,1,50538
25,3,2017,1,0,0,0,0,5,49681
4,10,2021,1,0,0,0,0,4,49591
18,3,2014,1,0,0,0,0,0,48592
8,7,2015,1,0,0,0,0,1,47297
30,12,2017,1,0,0,0,0,0,45701
28,7,2018,1,0,0,0,0,5,45120
1,8,2013,1,0,0,0,0,6,45018
